Nload,Soil moisture,Grain unit,NSWRM cost,linE,hedge_share_con,buffer_share_con,grassslope_share_con,notill_share_con,lu_share,hedge_moran,buffer_moran,grassslope_moran,notill_moran,buffer_channel_frac,grassslope_channel_frac,notill_channel_frac
-5509.804,13.3024,18615.958,-8522.967827,0,0,0,0,0.314233602,0,1,0.992162991,0,0.359830506,0,0,0.001483333
-5392.704,13.3786,18315.732,-159767.2892,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5398.504,13.4264,18492.801,-210937.2331,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5487.404,13.3292,18473.854,-40188.85734,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5456.004,13.3648,18537.478,-100867.1011,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5414.604,13.442,18640.416,-259965.5263,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5510.004,13.301,18615.429,-3574.738737,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5440.104,13.3274,18463.33,-55715.2349,0,0,0,0,0.000943682,0,1,0.992162991,0,0,0,0,0
-5510.704,13.3112,18598.844,-11241.94507,0,0,0,0,0.314233602,0,1,0.992162991,0,0.359830506,0,0,0.001483333
-5512.604,13.3378,18420.983,-52056.38757,0,0,0.101639033,0,0,1,1,1,0,0.005712662,0.054919919,0,0
-5455.904,13.3668,18529.407,-103413.8789,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5443.004,13.3308,18601.347,-56914.28883,0,0,0,0,0.199201074,0,1,0.992162991,0,0.212846365,0,0,0.288977842
-5393.104,13.3908,18455.113,-164143.3152,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5509.704,13.3066,18608.662,-10790.00732,0,0,0,0,0.314233602,0,1,0.992162991,0,0.359830506,0,0,0.001483333
-5445.304,13.3192,18559.934,-45416.39557,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5505.504,13.3098,18610.579,-15267.6541,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5455.704,13.3728,18534.277,-110240.2341,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5486.904,13.4,18571.693,-173029.0465,0,0,0,0,0.430922182,0,1,0.992162991,0,0.659478285,0,0,0.499423816
-5444.604,13.415,18660.551,-227072.1604,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5388.204,13.4076,18534.608,-181804.8415,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5392.504,13.383,18336.885,-165130.5481,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5386.804,13.4164,18334.576,-200304.1288,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5443.704,13.3728,18599.553,-123624.2368,0,0,0,0,0.199201074,0,1,0.992162991,0,0.212846365,0,0,0.288977842
-5464.404,13.3474,18542.171,-84503.0659,0,0,0,0.109440559,0,1,1,0.992162991,0.367558147,0.005712662,0,0,0
-5413.504,13.3898,18556.198,-155533.3417,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
-5389.304,13.4136,18528.524,-186507.3387,0,0,0,0,0.148814444,0,1,0.992162991,0,0.173261935,0,0,0.000539521
-5387.604,13.4074,18519.252,-182486.0908,0,0,0,0,0.154511657,0,1,0.992162991,0,0.194794517,0,0,0.000519627
-5413.104,13.43,18597.22,-248053.7061,0,0,0,0,0,0,1,0.992162991,0,0.005712662,0,0,0
